epoch,timestamp,train_loss,val_i2t_recall@1,val_i2t_recall@5,val_i2t_recall@10,val_t2i_recall@1,val_t2i_recall@5,val_t2i_recall@10,val_avg_recall@1,val_avg_recall@5,val_avg_recall@10,val_i2t_median_rank,val_t2i_median_rank,val_i2t_mrr,val_t2i_mrr,val_avg_mrr,val_i2t_map,val_t2i_map,val_avg_map,val_text_score,val_image_score,val_group_score,val_loss
1,2025-11-13T22:36:01.263224,2.3999839146931965,43.125,83.75,90.0,35.625,78.75,87.5,39.375,81.25,88.75,2.0,2.0,0.6163397532943573,0.5511441002602486,0.583741926777303,0.6163397532943573,0.5511441002602486,0.583741926777303,3.75,32.5,3.75,1.5387788534164428
2,2025-11-13T22:37:24.180801,2.2974874496459963,43.75,83.125,90.625,36.875,81.25,88.75,40.3125,82.1875,89.6875,2.0,2.0,0.6221313087695863,0.5660681852207269,0.5940997469951566,0.6221313087695863,0.5660681852207269,0.5940997469951566,3.75,32.5,3.75,1.566077995300293
3,2025-11-13T22:38:47.617529,2.1791388750076295,45.625,84.375,91.25,39.375,81.875,89.375,42.5,83.125,90.3125,2.0,2.0,0.6361618341149591,0.5827121116618427,0.6094369728884008,0.6361618341149591,0.5827121116618427,0.6094369728884008,8.75,32.5,7.5,1.6132725715637206
4,2025-11-13T22:40:12.588758,2.043346071243286,43.125,85.625,92.5,38.75,82.5,90.0,40.9375,84.0625,91.25,2.0,2.0,0.6323238180449641,0.5852464496750363,0.6087851338600001,0.6323238180449641,0.5852464496750363,0.6087851338600001,10.0,31.25,8.75,1.6593441247940064
5,2025-11-13T22:41:36.459085,1.8930257320404054,47.5,86.875,94.375,40.625,84.375,91.25,44.0625,85.625,92.8125,2.0,2.0,0.653313527417314,0.5988011082395273,0.6260573178284206,0.653313527417314,0.5988011082395273,0.6260573178284206,11.25,33.75,8.75,1.7235724687576295
6,2025-11-13T22:42:59.218050,1.7358635107676188,44.375,89.375,95.0,43.75,86.25,92.5,44.0625,87.8125,93.75,2.0,2.0,0.6419513139234906,0.6176229862007305,0.6297871500621106,0.6419513139234906,0.6176229862007305,0.6297871500621106,11.25,30.0,10.0,1.8065939664840698
7,2025-11-13T22:44:23.025743,1.5944375276565552,43.75,90.0,93.125,45.0,86.875,92.5,44.375,88.4375,92.8125,2.0,2.0,0.6417751563392448,0.6310476046092978,0.6364113804742713,0.6417751563392448,0.6310476046092978,0.6364113804742713,10.0,31.25,10.0,1.9131146669387817
8,2025-11-13T22:45:46.289692,1.4757968107859294,44.375,90.0,93.75,43.75,89.375,92.5,44.0625,89.6875,93.125,2.0,2.0,0.6473776199076122,0.6270136299532997,0.637195624930456,0.6473776199076122,0.6270136299532997,0.637195624930456,10.0,33.75,10.0,2.03325834274292
9,2025-11-13T22:47:11.468046,1.3439247528711955,42.5,88.75,94.375,43.75,89.375,92.5,43.125,89.0625,93.4375,2.0,2.0,0.6370171563275763,0.632262328397423,0.6346397423624996,0.6370171563275763,0.632262328397423,0.6346397423624996,10.0,31.25,10.0,2.1505160331726074
10,2025-11-13T22:48:33.827876,1.2626437743504841,43.75,88.75,94.375,45.0,86.875,93.75,44.375,87.8125,94.0625,2.0,2.0,0.6418413096097955,0.6412549718906098,0.6415481407502026,0.6418413096097955,0.6412549718906098,0.6415481407502026,13.750000000000002,32.5,8.75,2.2246628046035766
11,2025-11-13T22:49:59.297691,1.186940852801005,45.0,89.375,93.75,44.375,86.875,93.75,44.6875,88.125,93.75,2.0,2.0,0.6489040053513737,0.6363402337453294,0.6426221195483516,0.6489040053513737,0.6363402337453294,0.6426221195483516,11.25,35.0,10.0,2.299754524230957
